"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-01-25 21:46:00,2018-01-25 22:23:00,"Thursday",0,21.77,36.1833333333333,36.5166666666667,1.944
2018-01-25 23:34:00,2018-01-26 00:24:00,"Thursday",0,23.57,49.4166666666667,49.9833333333333,2.956
2018-01-26 00:30:00,2018-01-26 00:49:00,"Friday",0,0.5,18.7833333333333,19.0666666666667,2.042
2018-01-26 01:04:00,2018-01-26 02:26:00,"Friday",0,1.07,81.9,82.0166666666667,8.868
2018-01-26 01:59:00,2018-01-26 02:31:00,"Friday",0,1.98,31.0333333333333,31.1333333333333,3.094
2018-01-26 02:09:00,2018-01-26 03:47:00,"Friday",0,2.15,97.6833333333333,97.9833333333333,9.846
2018-01-26 13:20:00,2018-01-26 14:21:00,"Friday",0,13.33,60.9833333333333,61.1833333333333,6.089
2018-01-26 14:35:00,2018-01-26 15:50:00,"Friday",0,14.58,74.5666666666667,75.3166666666667,7.353
2018-01-26 14:38:00,2018-01-26 15:35:00,"Friday",0,14.63,56.3666666666667,56.6166666666667,3.174
2018-01-26 15:22:00,2018-01-26 18:13:00,"Friday",0,15.37,84.2833333333333,170.916666666667,8.16
2018-01-26 16:25:00,2018-01-26 16:33:00,"Friday",0,16.42,7.65,8.01666666666667,0.827
2018-01-26 18:17:00,2018-01-26 20:14:00,"Friday",0,18.28,0.416666666666667,116.866666666667,0.027
2018-01-26 18:50:00,2018-01-26 21:56:00,"Friday",0,18.83,185.033333333333,185.166666666667,15.982
2018-01-26 19:07:00,2018-01-26 19:29:00,"Friday",0,19.12,21.4666666666667,21.75,2.335
2018-01-26 19:36:00,2018-01-26 20:04:00,"Friday",0,19.6,27.9666666666667,28.5333333333333,1.742
2018-01-26 21:07:00,2018-01-26 23:54:00,"Friday",0,21.12,96.8166666666667,166.716666666667,5.536
2018-01-26 21:55:00,2018-01-26 23:33:00,"Friday",0,21.92,97.8333333333333,97.9166666666667,7.859
2018-01-26 22:12:00,2018-01-26 22:24:00,"Friday",0,22.2,11.4833333333333,11.5833333333333,1.136
2018-01-27 00:46:00,2018-01-27 01:45:00,"Saturday",1,0.77,58.4333333333333,59.0666666666667,6.385
2018-01-27 17:02:00,2018-01-27 19:37:00,"Saturday",1,17.03,154.8,155.05,13.951
2018-01-27 17:44:00,2018-01-27 18:27:00,"Saturday",1,17.73,43.1166666666667,43.5166666666667,2.593
2018-01-27 20:06:00,2018-01-27 21:39:00,"Saturday",1,20.1,79.2,93.8166666666667,4.18
2018-01-27 21:28:00,2018-01-27 22:44:00,"Saturday",1,21.47,75.3166666666667,75.9666666666667,4.505
2018-01-27 22:52:00,2018-01-27 23:20:00,"Saturday",1,22.87,27.8166666666667,28.1,1.669
2018-01-27 23:59:00,2018-01-28 01:18:00,"Saturday",1,23.98,78.9833333333333,79.2333333333333,8.096
2018-01-28 00:40:00,2018-01-28 01:09:00,"Sunday",1,0.67,19.5333333333333,28.1166666666667,1.062
2018-01-28 03:02:00,2018-01-28 05:22:00,"Sunday",1,3.03,101.383333333333,140.216666666667,7.379
2018-01-28 04:03:00,2018-01-28 04:17:00,"Sunday",1,4.05,13.65,14.2166666666667,1.371
2018-01-28 14:38:00,2018-01-28 15:21:00,"Sunday",1,14.63,42.7,42.8833333333333,4.625
2018-01-28 15:08:00,2018-01-28 17:02:00,"Sunday",1,15.13,113.083333333333,113.233333333333,11.549
2018-01-28 17:03:00,2018-01-28 19:29:00,"Sunday",1,17.05,77.1,145.783333333333,8.838
2018-01-28 20:26:00,2018-01-28 21:21:00,"Sunday",1,20.43,54.9,55.0666666666667,5.4
2018-01-28 22:06:00,2018-01-28 23:12:00,"Sunday",1,22.1,66.2,66.3666666666667,7.585
2018-01-28 23:59:00,2018-01-29 02:31:00,"Sunday",1,23.98,95.2,151.3,4.618
2018-01-29 12:54:00,2018-01-29 13:55:00,"Monday",0,12.9,60.4833333333333,60.7,6.586
2018-01-29 16:29:00,2018-01-29 20:27:00,"Monday",0,16.48,237.5,238.05,27.345
2018-01-29 18:27:00,2018-01-29 18:42:00,"Monday",0,18.45,15.25,15.6666666666667,0.788
2018-01-29 19:44:00,2018-01-29 20:10:00,"Monday",0,19.73,25.9333333333333,26.1666666666667,1.613
2018-01-29 20:48:00,2018-01-29 22:07:00,"Monday",0,20.8,79.3166666666667,79.4166666666667,4.525
2018-01-29 21:14:00,2018-01-29 22:11:00,"Monday",0,21.23,56.4333333333333,56.6333333333333,3.429
2018-01-29 22:29:00,2018-01-30 15:47:00,"Monday",0,22.48,19.0666666666667,1038.08333333333,0.899
2018-01-30 13:12:00,2018-01-30 14:08:00,"Tuesday",0,13.2,56.0833333333333,56.1666666666667,6.11
2018-01-30 13:22:00,2018-01-30 14:29:00,"Tuesday",0,13.37,67.05,67.3,5.434
2018-01-30 17:41:00,2018-01-30 19:39:00,"Tuesday",0,17.68,114.766666666667,117.4,5.889
2018-01-30 20:53:00,2018-01-30 22:24:00,"Tuesday",0,20.88,72,91.4833333333333,3.8
2018-01-30 21:46:00,2018-01-30 22:29:00,"Tuesday",0,21.77,42.4,42.5333333333333,3.331
2018-01-30 23:14:00,2018-01-31 00:12:00,"Tuesday",0,23.23,57.5666666666667,57.8333333333333,5.634
2018-01-31 00:48:00,2018-01-31 01:40:00,"Wednesday",0,0.8,52.1833333333333,52.6833333333333,1.295
2018-01-31 13:19:00,2018-01-31 13:41:00,"Wednesday",0,13.32,21.5666666666667,21.8333333333333,2.322
2018-01-31 15:45:00,2018-01-31 18:04:00,"Wednesday",0,15.75,138.583333333333,138.65,7.674
2018-01-31 16:10:00,2018-01-31 18:00:00,"Wednesday",0,16.17,110.033333333333,110.216666666667,6.641
2018-01-31 18:51:00,2018-01-31 19:33:00,"Wednesday",0,18.85,42.1833333333333,42.4166666666667,4.6
2018-01-31 20:52:00,2018-01-31 22:06:00,"Wednesday",0,20.87,73.4666666666667,73.75,3.937
2018-01-31 20:54:00,2018-01-31 21:35:00,"Wednesday",0,20.9,40.3666666666667,40.5833333333333,4.417
2018-02-01 00:16:00,2018-02-01 02:09:00,"Thursday",0,0.27,67.8166666666667,112.983333333333,5.658
2018-02-01 00:43:00,2018-02-01 02:51:00,"Thursday",0,0.72,128.183333333333,128.35,2.839
2018-02-01 05:12:00,2018-02-01 07:12:00,"Thursday",0,5.2,119.716666666667,119.9,7.399
2018-02-01 14:43:00,2018-02-01 18:14:00,"Thursday",0,14.72,79.2666666666667,210.95,7.664
2018-02-01 15:23:00,2018-02-01 17:25:00,"Thursday",0,15.38,121.066666666667,121.35,12.089
2018-02-01 18:14:00,2018-02-01 19:01:00,"Thursday",0,18.23,46.1833333333333,46.6333333333333,4.818
2018-02-01 18:20:00,2018-02-01 21:03:00,"Thursday",0,18.33,162.733333333333,163.033333333333,7.194
2018-02-01 18:33:00,2018-02-01 22:48:00,"Thursday",0,18.55,253.65,254.433333333333,28.961
2018-02-02 00:12:00,2018-02-02 03:43:00,"Friday",0,0.2,205.283333333333,210.7,15
2018-02-02 00:29:00,2018-02-02 02:32:00,"Friday",0,0.48,123.25,123.416666666667,11.991
2018-02-02 00:37:00,2018-02-02 02:52:00,"Friday",0,0.62,132.533333333333,134.45,12.929
2018-02-02 03:07:00,2018-02-02 04:15:00,"Friday",0,3.12,67.85,67.9666666666667,4.057
2018-02-02 13:01:00,2018-02-02 13:38:00,"Friday",0,13.02,36.2666666666667,36.4833333333333,3.947
