"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-10 16:35:00,2017-01-10 16:55:00,"Tuesday",0,16.58,20,12.24
2017-01-10 16:38:00,2017-01-10 19:00:00,"Tuesday",0,16.63,142,15.087
2017-01-10 16:38:00,2017-01-10 16:44:00,"Tuesday",0,16.63,6,3.78
2017-01-10 16:52:00,2017-01-10 17:11:00,"Tuesday",0,16.87,19,8.98
2017-01-10 16:53:00,2017-01-10 17:35:00,"Tuesday",0,16.88,42,4.421
2017-01-10 16:56:00,2017-01-10 17:27:00,"Tuesday",0,16.93,31,16.87
2017-01-10 16:59:00,2017-01-10 17:49:00,"Tuesday",0,16.98,50,13.26
2017-01-10 17:13:00,2017-01-10 17:42:00,"Tuesday",0,17.22,29,9.25
2017-01-10 17:17:00,2017-01-10 17:51:00,"Tuesday",0,17.28,34,5.79
2017-01-10 17:29:00,2017-01-10 17:59:00,"Tuesday",0,17.48,30,9.98
2017-01-10 17:37:00,2017-01-10 19:01:00,"Tuesday",0,17.62,84,29.775
2017-01-10 17:56:00,2017-01-10 18:28:00,"Tuesday",0,17.93,32,12.49
2017-01-10 18:04:00,2017-01-10 19:28:00,"Tuesday",0,18.07,84,8.67
2017-01-10 18:04:00,2017-01-10 18:21:00,"Tuesday",0,18.07,17,12.28
2017-01-10 18:31:00,2017-01-10 21:12:00,"Tuesday",0,18.52,161,16.47
2017-01-10 18:49:00,2017-01-10 19:02:00,"Tuesday",0,18.82,13,3.78
2017-01-10 18:59:00,2017-01-10 19:17:00,"Tuesday",0,18.98,18,10.58
2017-01-10 19:05:00,2017-01-10 20:23:00,"Tuesday",0,19.08,78,3.018
2017-01-10 19:20:00,2017-01-10 19:50:00,"Tuesday",0,19.33,30,18.03
2017-01-10 19:26:00,2017-01-10 19:52:00,"Tuesday",0,19.43,26,3.3
2017-01-10 20:00:00,2017-01-10 20:04:00,"Tuesday",0,20,4,2.75
2017-01-10 20:36:00,2017-01-10 21:20:00,"Tuesday",0,20.6,44,14.58
2017-01-10 20:43:00,2017-01-10 21:02:00,"Tuesday",0,20.72,19,8.7
2017-01-10 20:46:00,2017-01-10 21:22:00,"Tuesday",0,20.77,36,16.63
2017-01-10 21:06:00,2017-01-10 21:09:00,"Tuesday",0,21.1,3,2.04
